age,income,tenure,monthly_charge,num_products,region,support_calls,churn
47,76582,11,67.36,5,South,2,0
30,77805,3,73.54,1,North,1,0
54,69580,9,20.0,5,West,3,0
25,42854,11,75.19,2,East,2,0
45,84501,2,69.09,3,East,1,1
61,42804,12,54.7,2,West,2,0
30,64539,4,110.57,3,East,1,0
34,48685,4,89.17,5,South,2,0
40,59037,2,48.07,4,South,5,1
34,64931,3,86.76,4,South,3,0
24,64820,13,94.89,3,East,4,0
40,66328,3,72.64,4,South,2,1
29,84205,1,77.23,5,North,2,0
44,66803,6,76.77,4,South,0,1
30,56337,8,28.28,5,South,2,0
55,74461,12,66.26,2,East,1,0
32,77842,3,65.22,5,South,1,0
36,41585,5,98.6,1,West,2,1
48,68961,1,76.67,1,North,3,1
27,70517,10,64.05,1,East,1,0
42,55536,7,68.2,3,North,2,1
53,80635,10,90.47,3,West,1,1
23,57749,13,66.31,3,East,2,0
41,61883,1,56.04,5,East,1,1
42,57403,12,64.49,3,South,1,0
47,60233,11,88.81,2,North,3,1
27,43555,9,79.92,1,West,3,0
26,38399,8,70.89,5,West,1,0
45,83917,7,73.83,1,East,0,1
42,47295,10,58.81,3,South,3,1
42,45129,7,66.12,5,East,3,0
43,27699,5,56.73,4,East,3,0
33,50415,5,64.1,2,East,0,0
42,40153,11,96.92,3,East,0,0
42,84630,13,48.44,3,West,0,0
32,75147,5,56.23,2,West,4,1
58,49677,1,44.91,2,East,1,0
44,93786,8,40.58,4,East,3,1
28,74726,12,66.26,3,South,0,0
46,55127,11,57.65,3,East,0,0
30,22508,1,105.23,1,West,4,1
47,94364,4,64.34,5,North,1,0
51,39156,9,95.79,5,West,2,1
31,35319,14,89.36,1,South,4,1
49,75338,9,65.82,5,West,1,1
44,96596,5,112.2,2,North,0,0
48,80764,4,75.37,5,East,1,0
58,68458,3,100.26,5,North,2,1
37,68921,3,97.93,1,East,1,1
32,72801,12,78.29,4,East,1,0
31,71383,5,85.02,5,West,1,0
31,64217,10,82.48,5,West,3,1
39,61563,1,47.11,4,West,1,0
43,59061,5,71.15,1,South,1,0
42,48690,6,91.48,4,West,3,0
48,55789,7,100.52,1,South,1,1
40,34605,12,55.59,2,West,2,0
54,58524,9,80.58,1,East,0,0
37,45171,3,73.02,2,South,1,1
67,43446,2,67.64,2,North,3,1
46,62698,14,77.12,1,South,1,0
31,80880,3,74.36,3,South,4,1
29,73774,12,80.83,1,North,2,1
44,36442,9,98.83,5,South,0,0
37,45155,12,85.68,5,East,4,0
47,74111,7,76.21,3,West,2,0
44,45262,9,107.29,2,North,1,1
39,56630,13,92.2,3,West,1,0
31,68250,2,68.15,5,East,2,1
24,45474,5,45.66,3,North,1,0
35,61580,13,50.24,1,West,2,0
48,39989,4,88.66,3,West,2,1
42,50979,2,57.39,2,East,1,0
27,64796,9,49.84,1,West,1,0
41,36105,9,54.84,4,East,5,0
43,66607,6,56.25,5,South,1,0
31,59705,11,87.01,5,East,6,1
41,68287,6,66.87,3,South,4,1
40,63358,8,42.55,1,North,2,0
28,80462,6,70.62,4,West,1,1
43,61878,1,74.45,1,East,1,0
45,53558,4,60.41,5,East,3,0
50,61834,13,93.12,1,West,2,1
50,68149,7,61.58,4,West,1,1
26,60732,13,92.17,3,North,4,0
30,60608,13,81.94,2,North,2,0
45,49470,2,88.53,1,East,1,1
45,50056,9,48.03,2,North,3,1
45,38960,8,71.97,5,South,2,0
75,86243,8,68.94,3,North,4,1
45,41342,7,41.56,3,North,4,1
51,49606,4,92.1,1,East,1,0
49,49223,2,53.65,3,South,4,1
46,73423,3,57.81,1,North,0,0
36,55575,12,49.73,1,South,3,0
47,78716,6,84.02,2,South,3,0
32,49897,12,39.48,3,South,2,0
37,64184,12,82.36,1,West,3,0
35,47469,5,90.89,2,West,1,0
40,92177,12,80.74,4,West,4,1
63,42186,8,84.25,2,West,3,1
21,64647,6,85.19,2,East,0,1
46,69506,6,51.01,1,North,2,1
23,66206,1,98.69,5,West,1,0
35,57220,4,60.8,5,East,0,0
50,58052,5,68.67,5,North,3,0
40,60657,12,63.35,2,West,1,0
29,57794,11,79.83,1,North,1,0
32,74458,3,59.24,3,West,1,1
46,93157,13,71.34,2,East,4,0
32,51637,9,45.29,2,South,3,1
42,39452,1,93.29,1,South,0,1
40,58675,6,83.41,4,North,1,0
33,98695,6,64.15,2,East,4,1
61,47944,10,60.62,4,South,2,1
46,84586,5,82.89,4,West,1,0
19,85165,12,55.85,5,South,2,0
41,51696,5,72.51,1,North,1,0
33,68534,10,93.23,4,North,3,1
48,84425,14,53.77,1,East,3,0
32,54313,13,77.37,5,North,6,1
38,56946,5,76.31,1,South,1,1
45,51274,6,68.05,2,South,3,1
48,44778,8,59.92,4,South,1,0
27,50260,2,94.3,1,South,4,1
36,41640,6,58.05,3,East,2,0
35,60511,1,33.76,1,West,3,1
33,48450,4,82.81,4,West,1,0
57,63506,14,45.97,5,East,2,0
44,36661,10,83.84,5,North,2,0
27,64963,3,96.7,4,West,2,1
49,72502,9,82.59,2,North,1,0
61,30093,3,91.43,2,West,4,0
50,65610,6,110.4,5,North,1,1
24,78415,1,89.34,5,East,1,0
35,41855,12,76.61,4,South,2,1
52,85088,6,102.68,2,North,2,0
32,66285,4,105.1,5,South,5,0
44,49424,8,105.38,2,North,0,0
47,59163,13,60.16,5,North,0,0
30,68374,11,42.92,1,North,2,1
39,61140,9,58.94,3,North,1,0
18,68081,4,84.07,1,North,4,1
29,46189,10,73.18,5,South,4,1
37,62540,12,65.87,3,North,2,0
27,38794,10,81.21,3,South,1,0
56,58331,6,40.58,5,East,1,1
25,46441,1,72.82,5,West,4,1
35,48967,4,92.37,2,North,1,1
41,78541,7,80.99,5,West,8,1
54,76369,12,83.84,4,South,0,0
25,69137,1,101.95,5,East,1,0
51,43615,8,68.68,4,East,3,0
40,55253,12,56.94,5,East,1,0
30,78196,10,93.79,2,West,3,0
44,62125,12,93.42,4,South,2,1
41,94789,11,81.17,1,North,2,0
33,65899,6,66.79,4,North,1,0
40,62880,5,70.03,2,South,2,0
36,55363,10,44.46,4,West,0,0
41,62003,11,92.26,5,North,1,0
46,57712,14,91.55,5,South,0,0
55,70621,9,43.77,2,North,5,1
27,74350,2,87.35,3,East,4,1
61,48210,5,78.08,5,North,3,1
20,40031,6,49.56,1,West,1,0
38,32456,7,45.88,2,South,2,1
45,67619,5,77.47,4,West,1,1
42,43449,9,62.05,4,South,4,1
33,27706,1,106.4,1,East,1,1
37,65828,7,89.05,5,South,0,1
35,97394,10,79.47,2,North,3,0
34,59908,7,80.46,1,North,1,0
48,72577,4,96.62,5,East,3,1
43,61227,9,86.93,2,South,0,0
33,58516,14,80.0,4,East,2,0
48,73786,12,50.39,2,North,2,0
43,55645,11,131.24,3,West,1,0
48,64010,5,47.94,2,East,3,0
46,64825,4,63.75,3,West,3,1
31,49978,13,36.91,2,West,1,1
34,74880,7,80.78,3,South,1,1
47,57375,4,73.02,4,East,3,0
46,48663,3,85.31,5,West,1,0
39,68047,9,35.22,3,West,0,0
41,46522,11,92.26,3,South,1,1
52,60422,8,53.85,4,South,3,1
34,59863,1,67.02,3,North,4,1
45,76288,7,88.63,1,West,2,0
37,67120,9,75.23,4,North,0,1
37,59624,8,76.64,1,West,2,0
50,72266,8,85.98,4,North,1,0
48,80853,13,78.58,3,South,3,0
48,68367,6,63.18,1,East,2,0
53,60155,11,66.67,3,South,2,0
40,40322,4,74.24,4,North,2,0
46,44023,8,52.09,3,North,0,0
36,55421,3,89.92,1,East,3,1
43,50857,13,75.77,1,West,2,0
38,57195,9,71.5,3,North,0,0
40,60849,13,93.85,2,North,2,0
45,67945,2,67.6,4,North,2,0
31,58942,2,66.35,4,East,2,0
60,67297,12,60.31,3,South,2,0
29,60967,13,76.86,2,North,3,1
27,30368,12,76.17,1,East,1,1
51,45909,7,56.67,5,North,2,0
47,57838,12,66.45,5,West,2,0
46,41854,10,56.81,3,East,3,0
46,68998,4,55.9,2,North,2,1
39,82961,10,35.4,2,East,4,0
31,78281,8,65.38,4,North,2,0
40,56798,9,35.96,1,South,1,1
33,82360,7,60.74,2,North,1,0
49,62230,5,57.75,5,East,0,0
38,54943,8,91.04,1,West,2,1
31,50798,4,49.7,1,West,4,1
36,55462,2,54.78,3,West,1,0
44,54177,11,62.37,2,North,0,0
34,62556,12,58.4,3,South,2,1
31,62408,6,97.39,2,North,0,0
42,60045,9,47.23,4,West,0,0
42,66554,1,62.41,3,East,3,1
34,77859,11,76.64,3,West,2,1
35,74243,10,87.62,5,East,3,0
42,37726,12,62.4,3,South,1,0
25,21691,7,31.64,2,East,1,0
25,74014,10,67.0,5,North,2,1
32,39496,9,97.04,3,North,4,0
37,56628,10,75.64,3,North,3,0
43,42448,9,74.73,4,East,1,0
54,32970,10,48.74,3,North,4,0
48,68121,11,46.69,1,North,1,0
38,71387,13,70.36,5,North,3,0
39,51352,3,41.47,1,South,1,0
29,21134,11,85.63,5,East,1,0
39,51806,13,53.07,4,East,2,0
37,65877,5,69.51,3,West,3,0
43,37816,8,32.28,3,East,1,0
31,62750,8,62.12,3,South,3,1
45,59770,4,46.28,5,East,2,0
55,68689,12,23.56,3,South,2,0
38,61793,11,80.84,1,South,2,0
44,45403,11,102.82,3,East,0,1
46,77948,1,92.59,4,West,5,1
35,57622,1,83.63,1,North,2,1
42,59590,4,61.72,3,North,2,1
40,46000,6,86.12,3,East,0,0
40,53350,8,94.48,2,East,4,0
32,46727,6,72.74,5,South,1,0
40,57405,12,46.31,1,East,1,0
44,85675,9,60.01,2,South,5,1
54,39421,9,104.05,4,West,0,0
49,35796,14,68.51,5,East,2,0
61,82067,2,20.0,1,North,1,1
32,56860,10,40.62,3,North,3,0
48,49963,1,61.51,1,East,2,0
41,75598,2,90.72,3,South,5,1
61,50915,5,64.54,5,North,3,0
31,87390,4,91.09,3,South,2,0
31,70168,4,59.48,4,East,2,1
34,52681,9,30.71,3,East,1,1
18,92359,11,60.17,4,North,0,0
34,50914,8,76.9,5,East,1,0
32,71131,6,75.24,5,West,3,1
41,64489,1,44.9,1,West,1,1
43,79526,2,62.98,4,North,1,0
58,83422,6,123.69,4,West,0,0
49,60480,11,45.33,2,South,2,0
34,48698,2,83.21,2,North,3,1
31,66899,13,28.07,2,North,4,0
44,49834,10,87.28,3,South,2,0
26,90200,5,52.15,2,West,3,0
58,62048,14,78.04,4,West,3,0
51,54520,5,44.17,3,West,2,0
35,62770,6,75.82,5,North,3,1
22,39793,6,51.83,1,North,0,0
53,45425,14,55.7,2,West,2,0
38,78006,6,78.84,5,East,2,0
52,50146,14,61.39,4,West,4,0
24,44296,2,77.61,1,South,2,1
34,68049,14,66.18,5,North,2,0
40,77785,10,71.35,1,South,2,1
40,70784,14,78.9,2,South,2,0
35,74940,13,63.0,4,North,1,0
46,48648,14,50.08,1,East,2,0
29,38672,3,59.35,5,West,3,1
38,82520,14,93.9,2,South,1,0
41,55159,6,72.32,2,North,3,0
45,56237,13,53.1,5,South,3,1
47,79922,8,78.03,5,West,1,0
28,68343,12,79.37,1,East,1,0
24,66838,13,80.4,3,East,4,0
52,92475,11,50.44,2,East,2,0
43,50347,12,56.35,1,North,1,0
32,73917,1,56.46,5,North,1,0
55,60855,1,62.79,1,East,0,1
41,64028,11,80.78,5,West,2,0
51,82927,13,75.92,4,West,3,0
40,67617,2,77.5,5,North,2,1
60,68074,11,97.08,5,East,1,0
57,76087,12,83.78,5,West,1,0
37,54525,12,67.16,3,West,4,1
49,47411,6,46.32,5,West,1,1
46,44327,9,55.71,2,North,1,1
53,30504,4,64.77,2,East,3,1
30,90843,3,86.58,1,South,1,1
46,43451,12,69.45,3,East,1,1
50,56681,8,56.88,1,East,3,0
22,55847,11,55.34,2,North,2,1
28,64611,10,68.61,2,West,2,0
19,72236,14,87.8,4,West,2,0
37,72907,9,101.82,5,North,2,0
47,51253,12,65.88,2,North,3,0
55,57493,11,69.11,1,North,3,1
40,64238,5,45.72,1,North,5,1
56,56269,9,108.78,5,North,1,0
26,84110,2,41.98,5,South,3,0
22,67364,3,93.43,4,East,1,1
39,71023,7,62.69,3,East,0,0
43,69943,7,58.01,1,East,2,0
39,77602,6,47.8,5,West,3,1
19,62715,6,118.2,1,South,1,0
39,40547,2,74.43,5,East,4,1
26,65995,10,70.43,2,West,1,0
46,50229,6,87.73,1,South,0,0
43,52070,4,56.98,2,South,2,0
30,68795,12,70.04,1,West,0,1
34,78574,3,71.13,3,South,4,0
29,60319,13,59.76,4,West,1,0
39,64632,11,93.99,2,East,2,1
49,85533,13,65.63,5,West,1,0
30,63611,2,38.94,3,South,1,1
45,99025,1,63.97,1,East,1,0
34,68482,11,74.98,2,East,2,1
32,33588,11,52.13,1,North,1,0
38,71300,5,53.71,1,North,2,1
29,65717,2,59.07,1,South,3,1
34,79346,2,94.42,4,West,4,1
28,70097,7,60.26,4,West,2,0
59,57923,8,98.58,5,South,2,0
40,41635,13,57.7,2,East,3,0
33,56864,10,76.5,3,South,3,0
42,47242,8,61.08,3,South,2,1
38,51292,14,85.08,3,East,3,0
37,68828,4,47.63,1,West,1,0
46,85048,14,84.86,4,South,4,0
47,65920,1,72.28,2,West,0,0
34,42061,11,57.2,1,South,5,1
34,66669,7,66.68,4,East,2,1
37,77949,1,100.68,4,East,1,1
18,50853,11,72.76,2,North,1,0
24,57989,4,55.95,2,East,1,0
53,60220,8,45.91,2,North,2,0
56,48226,2,80.11,1,South,1,1
37,69724,6,73.92,5,West,4,1
45,58185,13,83.9,2,East,3,0
43,66292,6,40.76,5,East,0,0
70,46687,12,46.55,1,East,2,0
51,53438,9,92.94,5,South,0,1
38,70835,5,76.63,3,North,0,1
30,54407,10,80.67,5,South,2,0
23,85904,4,50.75,2,West,3,0
42,54005,5,50.38,1,South,2,1
32,63370,12,89.83,2,West,2,0
25,73988,12,90.77,3,East,1,0
33,38724,10,48.23,2,West,0,0
29,33587,11,44.41,2,West,2,0
56,37115,5,67.83,2,North,3,0
48,78938,8,54.01,4,West,3,0
39,51722,10,53.6,3,West,3,1
54,98372,12,44.97,2,South,3,0
40,51536,8,60.63,2,East,0,0
31,62768,2,46.91,2,South,1,1
55,83131,7,48.09,1,South,2,0
45,90091,8,75.97,4,East,1,0
29,90922,11,68.9,1,East,4,1
38,78125,6,79.7,4,West,0,0
31,75360,5,37.02,2,West,1,0
26,68887,11,70.2,3,North,4,1
49,71675,9,111.51,5,South,1,0
59,51732,13,62.55,5,East,2,0
26,47727,3,86.49,2,West,4,1
45,59949,12,86.32,1,East,2,0
33,57447,13,87.3,3,West,3,0
35,53201,13,73.33,4,North,1,0
34,70445,10,81.32,2,North,2,0
31,74329,4,83.98,3,East,1,1
40,61326,9,82.71,3,North,3,1
31,82162,6,47.65,4,East,3,0
42,42874,8,35.85,3,West,1,0
39,57095,7,38.93,1,South,3,0
37,49247,11,64.6,1,North,3,0
30,32001,2,81.88,1,West,3,1
34,58759,3,47.91,3,South,2,0
47,58173,1,88.48,1,South,0,1
45,82701,9,59.95,4,South,4,1
30,69462,13,60.14,3,West,1,0
40,44637,7,53.28,5,West,2,0
47,87811,1,32.3,3,East,2,1
23,78315,3,74.59,4,South,1,0
45,68731,4,104.25,5,South,2,0
33,56602,4,68.75,3,South,6,1
45,45608,5,32.99,1,East,0,0
32,54416,14,85.61,2,South,4,0
21,76331,3,37.5,2,West,2,1
23,88268,3,45.82,1,South,1,0
40,83148,1,65.23,2,North,2,0
42,52667,7,72.46,2,West,4,0
30,43205,11,49.83,1,East,1,0
46,62113,10,64.45,1,South,2,0
23,33473,14,84.3,3,North,2,0
39,64847,1,87.04,3,East,5,1
27,57785,2,95.03,1,East,1,0
33,53009,13,108.19,4,West,0,0
40,36079,4,86.2,2,East,2,1
31,67704,13,65.67,3,East,1,0
36,52009,4,87.19,2,East,0,0
50,42451,5,79.33,5,East,1,0
34,20000,11,80.13,1,South,1,0
48,59587,2,73.54,4,South,2,0
28,86583,4,51.76,5,South,2,1
45,84918,1,49.44,5,South,2,0
54,53143,2,68.06,5,North,0,0
18,50966,1,72.98,1,South,3,1
32,67031,10,56.41,3,East,1,0
45,45024,10,78.47,1,South,1,0
37,64526,13,111.62,3,South,3,0
43,71491,4,35.11,5,West,1,0
33,78403,4,81.64,5,East,0,0
40,58497,7,68.68,4,South,1,0
38,56944,10,79.01,3,South,2,0
51,46830,11,61.39,5,South,2,1
42,47596,11,67.08,2,North,1,0
43,56602,9,72.59,4,South,1,0
35,65510,9,63.97,1,West,4,0
35,73703,5,39.59,4,East,3,1
35,47952,10,65.32,2,East,0,0
43,82390,1,41.67,3,South,1,1
35,55933,1,83.06,1,South,3,1
42,59679,6,32.69,1,South,3,0
60,48791,2,90.57,3,East,1,0
48,23636,8,78.59,4,East,2,0
36,73260,13,78.67,5,North,3,1
52,71052,9,26.71,4,West,1,0
35,55780,13,63.43,2,North,0,0
19,61004,4,93.07,5,West,2,1
29,67739,5,59.63,4,North,3,0
21,36561,11,48.44,3,East,2,0
36,52064,8,57.27,2,North,3,0
40,71913,3,68.63,2,West,0,0
56,41185,5,52.97,2,South,2,0
43,64403,3,94.68,5,West,4,1
37,39651,12,68.71,1,South,4,0
48,66996,10,58.89,5,East,2,0
18,59465,3,43.97,4,West,2,0
42,35773,3,79.69,1,North,1,0
47,77471,13,79.23,4,West,1,0
25,48981,12,54.16,1,South,0,0
51,47846,7,25.27,5,East,2,1
43,63008,7,78.22,2,North,0,0
35,77229,7,66.26,3,West,1,1
46,44762,10,76.72,2,South,3,0
62,60925,8,109.14,5,North,0,1
41,66432,5,69.46,1,East,2,1
42,70396,5,59.72,2,North,1,1
35,62646,14,47.05,5,East,2,0
31,54494,4,63.75,4,North,0,1
48,47586,7,73.21,3,West,2,0
31,61292,10,71.07,2,South,1,0
40,43917,4,104.47,1,West,3,1
35,20000,2,79.98,4,West,3,1
44,66548,4,67.3,5,East,2,1
43,73559,13,55.87,3,East,2,1
50,24556,13,75.33,1,East,2,0
34,44854,8,51.86,5,West,0,0
37,69287,9,73.6,5,North,2,0
30,90862,3,79.75,2,North,2,0
35,60311,7,65.67,2,West,1,1
43,49079,14,57.39,1,West,3,0
47,57256,12,26.29,5,South,1,0
30,80623,14,92.88,2,East,1,0
48,50310,9,78.07,3,East,2,1
53,48012,11,78.55,3,West,1,0
44,52758,4,38.77,5,West,1,0
58,45700,10,97.6,2,North,0,0
32,61840,3,60.7,1,West,3,1
27,84370,5,64.22,1,North,2,0
22,64846,1,48.61,1,West,2,0
54,56214,3,34.26,3,South,4,0
46,55622,8,93.15,2,South,1,0
39,36552,11,95.73,2,North,3,0
42,73246,8,66.69,3,East,2,0
28,58832,13,56.41,1,South,2,0
64,57292,4,62.46,1,North,1,0
41,107896,2,63.01,5,West,3,0
41,64481,13,46.0,4,West,1,0
47,48723,8,64.15,2,North,2,0
44,53604,8,73.06,2,East,1,0
42,77226,10,90.36,2,North,3,0
32,61699,4,70.28,4,North,3,0
44,38425,3,38.47,5,South,1,0
58,73788,2,77.07,4,North,2,0
53,49977,9,64.88,1,North,0,1
55,88099,1,97.41,1,West,2,1
34,76200,7,98.59,2,South,2,1
30,53290,5,99.29,3,West,0,1
38,79215,8,58.77,2,West,3,0
40,61017,4,109.8,3,East,4,0
50,72791,7,77.02,4,East,0,0
23,67270,13,102.53,1,South,3,1
55,47304,5,59.95,3,South,1,1
38,50346,14,64.03,4,East,2,0
35,75449,5,75.48,1,East,3,1
29,54978,14,73.04,3,East,2,0
23,53945,9,95.1,2,East,0,0
48,45673,9,65.36,2,East,0,0
40,66353,13,93.29,2,West,1,0
27,90937,9,84.64,4,South,4,0
27,43987,12,65.73,2,West,1,0
36,60363,6,83.09,5,West,0,0
56,81183,6,60.53,1,North,2,0
37,58805,5,117.0,4,West,0,1
24,66785,9,20.0,2,East,3,0
37,44064,10,83.46,1,East,3,0
37,66424,8,34.71,3,North,2,0
18,57192,7,65.49,2,North,4,1
39,74785,7,68.29,1,North,0,1
37,77810,6,100.15,5,North,4,1
46,98843,5,56.16,3,North,1,0
58,68694,13,96.16,5,West,2,0
51,64886,4,46.42,1,North,1,1
37,62915,3,96.93,5,West,1,0
28,54702,3,60.51,1,South,4,0
65,65077,6,71.47,1,North,0,0
40,55568,4,63.27,5,North,0,0
40,62526,12,95.65,1,West,3,0
39,79763,12,91.75,2,South,1,0
41,44901,6,78.87,1,West,2,1
38,77098,3,46.96,4,West,1,1
34,79756,4,55.7,1,North,2,1
34,58228,9,49.43,4,East,3,1
39,28172,5,25.04,1,East,3,0
34,50882,13,95.23,1,West,1,0
32,79454,7,63.44,5,North,1,0
41,59656,10,63.23,2,South,1,0
37,45010,2,99.92,2,East,2,1
55,52428,14,60.48,3,South,2,0
18,72609,14,53.19,5,East,4,1
50,68201,5,65.51,5,North,4,0
52,56416,9,47.35,2,West,4,1
19,54497,11,76.89,5,South,2,0
36,54123,3,62.53,2,South,2,1
36,46163,14,59.85,5,West,0,0
25,84230,9,58.12,1,South,2,0
32,55165,14,67.88,2,East,1,0
28,78257,11,71.67,2,West,2,1
57,82819,6,59.6,4,East,2,1
49,74974,4,62.82,5,East,1,1
52,53525,7,68.37,5,North,5,1
47,66055,8,66.35,2,East,1,0
28,59637,6,70.62,1,North,3,1
34,46444,5,56.47,1,South,2,0
44,64865,6,90.09,1,South,3,0
27,42314,5,71.94,5,North,4,1
47,77815,8,59.92,4,East,1,0
37,53030,1,76.89,2,West,0,1
36,63017,11,68.51,3,West,4,1
47,64249,7,35.32,4,North,3,0
44,56116,10,76.82,3,South,1,1
36,68800,10,49.61,4,South,2,1
51,52876,11,88.69,1,West,4,1
29,73069,2,65.17,5,North,3,0
46,39810,14,85.6,3,West,1,0
45,61895,9,57.4,4,East,0,1
36,89083,1,71.4,5,East,4,0
43,44995,11,94.2,3,North,1,0
27,49833,10,64.62,2,North,1,0
49,67708,6,58.18,4,East,3,0
38,62693,9,83.1,2,South,3,1
34,65259,1,82.71,1,North,2,1
50,67337,4,59.03,2,East,0,0
32,69520,4,30.29,2,East,3,0
25,76645,9,57.8,4,South,1,0
24,66147,11,83.55,1,South,1,0
46,56381,5,54.5,2,South,2,0
27,70088,5,69.78,5,South,1,0
57,88498,6,56.85,3,West,1,0
19,58010,1,31.36,2,South,2,0
56,45382,1,56.49,1,West,1,0
42,76606,9,83.46,2,North,3,1
39,58194,3,22.59,3,East,1,1
34,27409,4,75.04,1,West,1,0
43,72711,1,46.28,4,North,4,0
39,51970,9,82.17,1,North,1,0
51,58642,8,84.29,4,West,3,0
41,64979,2,66.56,1,North,1,1
41,62857,8,66.61,3,North,0,0
36,70641,7,53.87,3,West,3,0
39,53467,11,43.09,1,North,1,1
43,67696,6,103.96,2,South,0,0
22,56106,1,52.7,3,South,3,1
26,71082,7,101.36,4,East,1,0
47,69230,10,52.81,4,North,1,0
41,45968,7,80.5,5,East,4,1
38,76289,13,47.24,4,South,2,0
40,51960,14,80.47,5,South,3,1
43,72120,9,63.49,1,South,2,0
34,65509,1,63.75,1,North,1,1
32,87572,2,82.2,1,North,0,0
41,56648,11,60.62,2,South,2,0
30,54760,9,41.44,2,East,0,0
44,59708,13,85.23,5,East,3,0
